Package,LibPath,Version,Priority,Built
abind,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-5,NA,3.5.0
acepack,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.1,NA,3.5.0
ade4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7-13,NA,3.5.0
akima,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6-2,NA,3.5.0
ALDEx2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.14.1,NA,3.5.2
ape,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,5.3,NA,3.5.2
aRxiv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.16,NA,3.5.0
askpass,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1,NA,3.5.2
assertthat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.2
backports,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.4,NA,3.5.2
base,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
base64enc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-3,NA,3.5.0
bayesm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1-1,NA,3.5.0
bayesplot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.0,NA,3.5.2
bayestestR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.2
BBmisc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.11,NA,3.5.0
BH,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.69.0-1,NA,3.5.2
bibtex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.2,NA,3.5.0
Biobase,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.42.0,NA,3.5.1
BiocGenerics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.28.0,NA,3.5.1
BiocManager,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.30.4,NA,3.5.0
BiocParallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.16.6,NA,3.5.2
BiocVersion,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.8.0,NA,3.5.1
biomformat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.10.1,NA,3.5.2
Biostrings,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.50.2,NA,3.5.2
bitops,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-6,NA,3.5.0
bookdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.11,NA,3.5.2
boot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-22,recommended,3.5.2
bridgesampling,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6-0,NA,3.5.0
brms,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.9.0,NA,3.5.2
Brobdingnag,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-6,NA,3.5.0
broom,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.2,NA,3.5.2
callr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.2.0,NA,3.5.2
car,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0-3,NA,3.5.2
carData,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0-2,NA,3.5.0
caTools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.17.1.2,NA,3.5.2
cellranger,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
checkmate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.9.3,NA,3.5.2
circlize,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.6,NA,3.5.2
class,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-15,recommended,3.5.3
classInt,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-3,NA,3.5.2
cli,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.2
clipr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.0,NA,3.5.2
clisymbols,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
cluster,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.9,recommended,3.5.2
coda,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.19-2,NA,3.5.0
CoDaSeq,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.99.3,NA,3.5.2
codetools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-16,recommended,3.5.3
colorspace,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-1,NA,3.5.2
colourpicker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0,NA,3.5.0
compiler,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
ComplexHeatmap,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.20.0,NA,3.5.1
compositions,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.40-2,NA,3.5.0
